machine,run.n_images,decode_time,calc_time,decode_time.by_image,calc_time.by_image
tupi1,1,8726,13852,8726,13852
tupi1,100,680813,1327855,6808.13,13278.55
tupi1,200,1366067,2653934,6830.335,13269.67
tupi1,300,2045792,3975410,6819.306667,13251.366667
tupi1,400,2725468,5302754,6813.67,13256.885
tupi1,500,3415419,6641731,6830.838,13283.462
tupi1,600,4095963,7923887,6826.605,13206.478333
tupi1,700,4894992,9274595,6992.845714,13249.421429
tupi1,800,5723118,11100597,7153.8975,13875.74625
tupi1,900,6558681,11961898,7287.423333,13290.997778
tupi1,1000,7398861,13264175,7398.861,13264.175
tupi1,1100,8226340,14599878,7478.490909,13272.616364
tupi1,1200,9086687,15919183,7572.239167,13265.985833
tupi1,1300,10016726,17231525,7705.173846,13255.019231
tupi1,1400,10896470,18568721,7783.192857,13263.372143
tupi1,1500,11812450,19897306,7874.966667,13264.870667
