machine,run.n_images,fread_time,decode_time,calc_time,fread_time.by_image,decode_time.by_image,calc_time.by_image
tupi1,1,172,6223,126,172,6223,126
tupi1,100,12278,407530,8258,122.78,4075.3,82.58
tupi1,200,24695,815761,16246,123.475,4078.805,81.23
tupi1,300,36363,1225981,24962,121.21,4086.603333,83.206667
tupi1,400,48458,1635388,31863,121.145,4088.47,79.6575
tupi1,500,61201,2038722,43073,122.402,4077.444,86.146
tupi1,600,73775,2453825,50784,122.958333,4089.708333,84.64
tupi1,700,92051,2995278,55481,131.501429,4278.968571,79.258571
tupi1,800,109807,3563208,64460,137.25875,4454.01,80.575
tupi1,900,128879,4148277,70846,143.198889,4609.196667,78.717778
tupi1,1000,147974,4730452,78300,147.974,4730.452,78.3
tupi1,1100,165516,5345620,86829,150.469091,4859.654545,78.935455
tupi1,1200,187570,5899312,92268,156.308333,4916.093333,76.89
tupi1,1300,210559,6561272,100702,161.968462,5047.132308,77.463077
tupi1,1400,232551,7220194,115195,166.107857,5157.281429,82.282143
tupi1,1500,256486,7867113,124968,170.990667,5244.742,83.312
